Class,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60
HBRG,4.486200809,7.52269268,0,19.26558113,0,0,0,0,4.371440411,6.430197716,0,0,2.668143511,0,0,0,0,0,17.56655693,15.36771107,11.88231468,0,0,5.483500957,7.987906933,0,12.49776363,0,0,0,0,0,23.48625946,1.17370522,8.754684448,0,2.429036856,15.53885651,0,0,0,0,0,1.806580544,6.262979984,0,4.013958931,23.22393799,6.144473076,0,2.247653723,1.272134066,0,0,2.836458445,0,4.834459782,0,1.642702222,0
HBRG,0,7.836707592,0,18.32725143,0,0,0,0,0,10.06986141,0,0,0,0,0,0,0,0,18.70659065,24.64027405,0,0,0,0,0,0,15.33304405,0,0,0,0,0,30.92074585,3.570695639,2.567348242,0,0,23.81391335,0,0,0,0,0,8.108355522,8.226896286,0,0,15.17202091,28.67285347,0,0,0,0,0,0,0,5.025197983,0,0,0
HBRG,0,7.439929962,0,21.02044487,0,0,0,0,0,2.437616348,0,0,0,0,0,0,0,0,16.78488159,16.37033272,12.14253426,0,0,2.648342609,3.812455177,0,12.49499321,0,0,0,0,0,27.0971489,0,8.869125366,0,0,15.49642563,0,0,0,0,0,1.117977262,4.291461945,0,0.730490148,34.65988541,11.70362949,0,0,0,0,0,2.424663544,0,5.706629753,0,0,0
HBRG,0,18.82701492,0,15.55323792,0,0,0,0,0,3.975220203,0,0,0,0,0,0,0,0,22.60265923,16.4685173,5.799886703,0,0,0,1.192252994,0,11.48223782,0,0,0,0,0,30.04166794,0,10.09131622,0,0,15.97885513,0,0,0,0,0,5.886169434,9.224703789,0,2.128726244,22.45859146,14.28553581,0,0,1.934435129,0,0,3.018528938,0,5.741382122,0,0,0
HBRG,0.188557446,17.85566711,0,16.10856819,0,0,0,0,0,3.848888397,0.872196019,0,0,0,0,0,0,0,15.38237,12.89703941,12.06020355,0,0,0.752527595,1.443513513,0,10.1817112,0,0,0,0,0,26.32335663,0,7.015786171,0,0,15.54553032,0,0,0,0,0,2.76202035,4.549019337,0,0.469865024,25.33763885,10.96500301,0,0,1.704665899,0,0,2.579150438,0,3.234617233,0,0,0
HBRG,0.157497704,0,0,15.28574944,0,0,0,0,0,3.302087069,0,0,0,0,0,0,0,0,11.13029099,14.58625984,5.782216549,0,0,2.157239676,5.164569855,0,10.03252411,0,0,0,0,0,21.53771973,0,9.238742828,0,0,11.18305492,0,0,0,0,0,1.062789559,2.201501369,0,4.503163815,21.2885704,9.605605125,0,0,0,0,0,0.5301162,0,4.755552769,0,0,0
HBRG,2.805934429,8.065688133,0,15.43396759,0,0,0,0,0.922785103,3.54345417,0,0,0,0,0,0,0,0,16.26575089,13.04299927,9.29271698,0,0,2.258137465,5.932726383,0,8.805758476,0,0,0,0,0,25.47923279,0,8.98870182,0,0,13.20978165,0,0,0,0,0,0.71562773,6.688844204,0,5.733517647,23.72901917,7.854506969,0,0,0.016998097,0,0,3.510425806,0,5.169082165,0,0,0
HBRG,0.425854266,7.220095158,0,20.41497231,0,0,0,0,0,1.692801952,0,0,0,0,0,0,0,0,14.42495537,13.95693588,9.292453766,0,0,0.108940482,1.839065671,0,14.1567421,0,0,0,0,0,26.10710526,0,8.322620392,0,0,16.46402931,0,0,0,0,0,4.549338818,3.37660861,0,0,27.01023102,12.97149944,0,0,0,0,0,1.141329646,0,4.637369633,0,0,0
HBRG,3.451081514,14.39584255,0,15.87639046,0,0,0,0,0,2.273767948,0,0,0,0,0,0,0,0,15.28266144,12.82949066,11.49041176,0,0,1.90076375,4.473057747,0,10.53289413,0,0,0,0,0,22.88777351,0,9.077106476,0,0,14.31981659,0,0,0,0,0,3.296589851,4.051939964,0,1.829168916,17.47402573,9.72313118,0,0,0.440946341,0,0,3.238547087,0,3.43760705,0,0,0
HBRG,0,0,0,17.53842354,0,0,0,0,0,7.580575943,0.79319638,0,0,0,0,0,0,0,14.91944599,22.49965286,0.489242375,0,0,10.98460388,0,0,19.94602776,0.168329462,0.791777134,0,0.733936489,0,20.90077782,8.206939697,3.130303383,0,0,21.9711895,0.507693768,0,0,0,0,4.172289371,6.854373455,0,1.040901661,5.63323164,24.32128334,0,0,0,0,0,2.35676384,0,2.354140282,0,0,0
