lotnum,ytotal,y1,y2,y3,y4,y5,y6,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
Lot1,22,0,10,1,7,1,3,A,A2,A3,B4,C5,C6,B7,B8,A9,A10
Lot2,27,13,11,0,0,0,3,B,A2,A3,B4,C5,B6,B7,B8,A9,A10
Lot3,31,0,15,5,6,0,5,A,B2,A3,B4,C5,C6,B7,B8,A9,A10
Lot4,38,7,15,6,0,7,3,A,A2,A3,B4,C5,B6,B7,B8,A9,A10
Lot5,30,8,7,8,0,6,1,B,B2,A3,B4,C5,B6,A7,B8,B9,A10
Lot6,54,7,22,2,0,15,8,A,A2,A3,B4,C5,B6,A7,B8,A9,A10
Lot7,31,2,9,8,0,9,3,A,B2,A3,B4,C5,B6,A7,B8,B9,A10
Lot8,32,4,11,5,0,8,4,A,B2,A3,B4,C5,B6,A7,B8,A9,A10
Lot9,28,7,10,6,0,4,1,B,B2,A3,B4,C5,B6,A7,B8,B9,A10
Lot10,23,0,4,1,10,1,7,A,A2,A3,B4,C5,C6,B7,B8,A9,A10
Lot11,55,4,23,8,0,19,1,B,B2,A3,B4,C5,B6,A7,B8,A9,A10
Lot12,22,18,4,0,0,0,0,A,A2,A3,B4,C5,B6,B7,B8,A9,A10
Lot13,46,9,16,2,0,18,1,A,A2,A3,B4,C5,C6,A7,B8,A9,A10
Lot14,36,10,10,6,0,8,2,A,B2,A3,B4,C5,B6,A7,B8,A9,A10
Lot15,59,21,19,4,0,13,2,A,B2,A3,B4,C5,B6,A7,B8,A9,A10
Lot16,47,8,15,1,0,16,7,A,A2,A3,B4,C5,B6,B7,B8,A9,A10
Lot17,57,9,19,7,1,15,6,A,B2,A3,B4,C5,C6,B7,B8,A9,B10
Lot18,33,13,19,0,0,0,1,A,B2,A3,B4,C5,B6,B7,B8,A9,A10
Lot19,27,0,15,6,1,4,1,A,A2,A3,B4,C5,B6,B7,B8,A9,A10
Lot20,44,11,18,2,0,9,4,A,B2,A3,B4,C5,B6,A7,B8,A9,A10
Lot21,36,5,19,3,0,8,1,A,B2,A3,B4,C5,C6,B7,B8,A9,B10
Lot22,23,12,8,0,0,0,3,A,A2,A3,B4,C5,B6,B7,B8,A9,A10
Lot23,36,8,13,5,0,6,4,B,B2,A3,B4,C5,B6,B7,B8,B9,A10
Lot24,25,0,9,1,8,5,2,A,A2,A3,B4,C5,C6,B7,B8,B9,A10
Lot25,55,0,25,5,11,6,8,A,B2,A3,B4,C5,B6,A7,B8,B9,B10
Lot26,44,11,16,5,0,11,1,B,B2,A3,B4,C5,B6,A7,B8,A9,A10
Lot27,17,0,6,2,6,0,3,B,B2,A3,B4,C5,C6,B7,B8,A9,A10
Lot28,31,5,13,0,0,13,0,A,A2,A3,B4,C5,B6,B7,B8,A9,A10
Lot29,33,4,10,9,0,6,4,B,B2,A3,B4,C5,C6,B7,B8,A9,B10
Lot30,61,20,12,4,0,23,2,A,B2,A3,B4,C5,B6,A7,B8,A9,A10
Lot31,30,11,17,0,0,0,2,B,A2,A3,B4,C5,B6,B7,B8,A9,A10
Lot32,16,7,7,0,0,0,2,A,A2,A3,B4,C5,B6,B7,B8,A9,A10
Lot33,24,12,10,0,0,0,2,A,A2,A3,B4,C5,B6,B7,B8,A9,A10
Lot34,21,8,7,0,0,1,5,A,A2,A3,B4,C5,B6,B7,B8,A9,A10
Lot35,18,9,7,0,0,0,2,B,A2,A3,B4,C5,B6,B7,B8,A9,A10
Lot36,38,8,13,10,0,5,2,A,B2,A3,B4,C5,B6,B7,B8,B9,B10
Lot37,34,1,10,1,17,5,0,A,A2,B3,B4,C5,C6,B7,B8,A9,B10
Lot38,48,7,22,9,0,6,4,B,A2,A3,B4,C5,B6,B7,B8,B9,B10
