Price,Adj Close,Close,High,Low,Open,Volume
Ticker,000660.KS,000660.KS,000660.KS,000660.KS,000660.KS,000660.KS
Date,,,,,,
2015-01-02,41929.35546875,47750.0,48400.0,47650.0,47950.0,1155944
2015-01-05,41841.55078125,47650.0,48400.0,47500.0,48050.0,1409146
2015-01-06,41709.828125,47500.0,47600.0,46900.0,47000.0,1661196
2015-01-07,41622.02734375,47400.0,47600.0,46700.0,46700.0,1821266
2015-01-08,43861.18359375,49950.0,50000.0,47900.0,48250.0,5006675
2015-01-09,43641.66015625,49700.0,51400.0,49700.0,50700.0,3313929
2015-01-12,44168.51171875,50300.0,50500.0,49450.0,50000.0,1709997
2015-01-13,43026.984375,49000.0,49650.0,48500.0,48500.0,3047952
2015-01-14,42939.17578125,48900.0,49850.0,48850.0,48900.0,2241954
2015-01-15,43466.0390625,49500.0,49500.0,48850.0,48900.0,1468474
2015-01-16,41665.9296875,47450.0,48900.0,47250.0,48450.0,4820176
2015-01-19,41270.7734375,47000.0,47950.0,46800.0,47500.0,3180759
2015-01-20,41314.6796875,47050.0,47650.0,46800.0,47250.0,2211331
2015-01-21,42192.78125,48050.0,48200.0,47400.0,47500.0,2156709
2015-01-22,41270.7734375,47000.0,48450.0,47000.0,48100.0,2905955
2015-01-23,41709.828125,47500.0,47750.0,47200.0,47600.0,1572903
2015-01-26,42368.40625,48250.0,48300.0,47000.0,47250.0,1410144
2015-01-27,43158.703125,49150.0,49350.0,48800.0,49350.0,2292330
2015-01-28,43202.60546875,49200.0,49300.0,48200.0,49150.0,2333159
2015-01-29,41622.02734375,47400.0,49200.0,47300.0,48500.0,5020783
2015-01-30,41841.55078125,47650.0,48000.0,47300.0,48000.0,2743159
2015-02-02,40919.546875,46600.0,47600.0,46350.0,47300.0,3258140
2015-02-03,41007.35546875,46700.0,47450.0,46450.0,46450.0,2513399
2015-02-04,41534.2109375,47300.0,47450.0,47000.0,47400.0,1823018
2015-02-05,41402.4921875,47150.0,47400.0,46300.0,47300.0,1984849
2015-02-06,39953.625,45500.0,47200.0,45200.0,47100.0,4547785
2015-02-09,39690.19921875,45200.0,45950.0,45000.0,45300.0,2741040
2015-02-10,39646.28515625,45150.0,45800.0,45050.0,45250.0,2254222
2015-02-11,41139.06640625,46850.0,47050.0,45650.0,45900.0,3231887
2015-02-12,40963.44140625,46650.0,47500.0,46600.0,47450.0,1903965
2015-02-13,41314.6796875,47050.0,47450.0,46750.0,47000.0,1354556
2015-02-16,41709.828125,47500.0,47550.0,47200.0,47550.0,1534022
2015-02-17,40787.82421875,46450.0,47450.0,46300.0,47350.0,1677139
2015-02-23,41446.3984375,47200.0,47200.0,46400.0,46500.0,2273267
2015-02-24,41797.63671875,47600.0,47900.0,47200.0,47900.0,1880503
2015-02-25,40831.73046875,46500.0,47400.0,46400.0,47200.0,2633709
2015-02-26,41358.59375,47100.0,47200.0,46450.0,46750.0,1938544
2015-02-27,40919.546875,46600.0,47300.0,46250.0,47000.0,2344677
2015-03-02,41139.06640625,46850.0,46900.0,46300.0,46850.0,2246166
2015-03-03,41534.2109375,47300.0,47500.0,46650.0,47150.0,2100433
2015-03-04,40304.8671875,45900.0,47300.0,45700.0,47300.0,4160256
2015-03-05,39953.625,45500.0,46100.0,45250.0,45650.0,2214809
2015-03-06,40568.296875,46200.0,46400.0,45950.0,46050.0,1877771
2015-03-09,39602.390625,45100.0,45750.0,44850.0,45450.0,3175721
2015-03-10,38768.1875,44150.0,45500.0,43100.0,45200.0,5232109
2015-03-11,38109.6171875,43400.0,44000.0,43150.0,43500.0,4527681
2015-03-12,37977.90234375,43250.0,44100.0,43250.0,43400.0,3929253
2015-03-13,38724.28515625,44100.0,44150.0,43350.0,43350.0,1962212
2015-03-16,40217.06640625,45800.0,46000.0,44400.0,44400.0,4031380
2015-03-17,40612.203125,46250.0,46450.0,45850.0,46100.0,2790117
2015-03-18,40612.203125,46250.0,46400.0,45600.0,46250.0,2790286
2015-03-19,40743.921875,46400.0,47000.0,46300.0,46950.0,1983215
2015-03-20,41139.06640625,46850.0,46850.0,45850.0,46450.0,1948819
2015-03-23,42280.59765625,48150.0,48200.0,47050.0,47100.0,3781841
2015-03-24,42148.890625,48000.0,48200.0,47550.0,47700.0,2155547
2015-03-25,42412.3125,48300.0,48350.0,47850.0,48000.0,1830867
2015-03-26,41270.7734375,47000.0,47500.0,46550.0,47250.0,4469503
